Step	c_T_C	c_T_DD	TotEng	E_angle	E_dihed	E_bond	E_vdwl
2150000	297.14758	301.82931	11870.363000000001	9086.731	14952.596000000001	8872.2229	-40357.035
2155000	298.87982	301.00979	9814.7284	9063.5744	14925.171999999999	8897.4424	-40234.106
2160000	299.59487	297.80986	10443.213	9062.6286	15181.371000000001	8953.8885	-39921.1
2165000	295.44607	298.29237	10803.158000000001	9129.7012	15367.288999999999	8967.5216	-39683.43
2170000	302.38242	297.73985	11227.59	9181.5445	15529.563	8948.3417	-39566.418
2175000	304.48312000000004	296.55931	11552.386	9183.7627	15583.848	8859.1474	-39344.377
2180000	304.47537	301.23687	11722.643	9279.0244	15663.265	8934.0325	-39461.942
2185000	310.71918999999997	296.8277	12051.108	9232.7865	15768.671999999999	9004.8829	-39273.084
2190000	313.2005	308.19114	12236.527	9384.7064	15700.42	8890.4856	-39291.722
2195000	314.37962999999996	305.46855	12418.998	9338.0077	15766.838	9043.9554	-39230.761
2200000	316.70165	310.69088999999997	12892.51	9351.9882	15835.162	8997.5207	-39091.858
2205000	322.79624	309.54367	12957.076000000001	9358.8187	15833.841	9128.5985	-39216.85
2210000	321.72842	309.01591	12910.741000000002	9488.4517	15895.453000000001	9093.6118	-39315.529
2215000	326.58381	308.09929	13176.735	9465.8165	15991.367	9066.8157	-39255.75
2220000	331.56742	307.49633	13201.895	9486.9846	15915.128	9096.7481	-39254.629
2225000	327.45656	312.62518	13194.636	9506.3306	15976.75	9057.5269	-39405.253
2230000	329.12203	305.37037000000004	13397.913999999999	9481.0245	15868.49	9216.0365	-39094.297
2235000	331.69916	312.64961	13488.4	9489.7489	15872.575	9055.16	-38991.268
2240000	330.23843	314.2907	13452.933	9528.8741	15921.702	9141.2074	-39169.013999999996
2245000	332.34848999999997	315.48228	13615.028	9528.1917	15947.339	9083.7431	-39066.045
2250000	331.79003	317.52876000000003	13855.537	9662.3894	15851.187	9148.9308	-38909.657999999996
2255000	336.18475	320.23419	13675.291000000001	9527.5964	15830.46	9142.9087	-39051.633
2260000	337.4266	317.63631000000004	13880.188	9533.9517	15772.445	9263.3143	-39027.609
2265000	336.07687000000004	316.63657	13753.794	9584.5642	15848.287	9238.4463	-39117.412000000004
2270000	336.44915	315.80523	13790.037	9447.5463	15906.213	9289.2652	-39087.221
2275000	333.5457	321.99056	13816.722	9539.7568	15904.458999999999	9256.0293	-39151.681000000004
2280000	335.01946	326.99391	13718.083	9592.1825	15819.891000000001	9192.0931	-39208.715
2285000	339.95583999999997	324.21517	13899.535	9543.0729	15929.195	9239.3535	-39247.86
2290000	338.01806	324.24626	13808.76	9555.8151	15930.358999999999	9183.832	-39211.566
2295000	337.5341	331.04625	14023.515	9578.1091	15950.684	9316.398000000001	-39232.774
2300000	341.53489	323.08272999999997	13941.328000000001	9634.4199	15942.961000000001	9259.2971	-39212.68
2305000	338.41137000000003	327.77882	14185.791000000001	9638.6173	15873.923999999999	9321.6793	-39208.288
2310000	340.8624	323.82401	13830.656	9487.2959	15875.612	9240.3434	-39197.847
2315000	342.2309	327.96645	13932.537	9570.0826	15957.096000000001	9186.7845	-39251.156
2320000	335.94497	325.94686	14254.105	9611.434000000001	15960.739	9422.4922	-39165.288
2325000	337.59952000000004	328.37046000000004	14024.517	9531.9537	15807.889	9443.4147	-39049.531
2330000	336.46625	328.6066	13909.768999999998	9508.1433	15878.627	9299.8024	-39087.24
2335000	341.92361	326.52221000000003	13923.766000000001	9653.249	15635.575	9264.8665	-39142.74
2340000	339.46079	323.94319	13892.293	9497.461	15751.364	9408.6763	-39149.538
2345000	343.31077	322.79164	13931.276000000002	9644.7388	15790.396	9313.1612	-39310.068
2350000	337.03252000000003	328.58248	13925.021999999999	9555.2613	15803.706	9231.5737	-39168.405
2355000	345.65087	329.15553	14135.979	9605.9307	15794.527	9338.9471	-39183.207
2360000	342.53411	330.85772000000003	14233.311000000002	9695.3424	15816.05	9325.1706	-39208.227
2365000	345.2472	325.07656000000003	13888.319	9564.1254	15779.969	9300.8841	-39356.636
2370000	338.78391	324.79396	13822.575	9656.517	15752.604	9348.5203	-39321.846
2375000	341.90449	329.8566	13893.208999999999	9726.0773	15711.905	9260.5538	-39332.084
2380000	341.40112	330.38284	13853.426000000001	9634.288	15667.402	9254.0424	-39295.214
2385000	343.44698	326.53845	13945.626	9588.8688	15688.777	9252.146	-39215.78
2390000	342.41965	324.80199	13984.495	9580.9038	15592.862	9382.4069	-39113.571
2395000	341.77241000000004	326.2898	13844.787	9624.4809	15729.833	9290.6067	-39140.986000000004
2400000	341.09558	325.48506000000003	13926.813999999998	9575.2377	15635.011999999999	9385.3858	-39160.734
2405000	343.73649	326.75121	14028.832	9617.5673	15668.372	9362.5214	-39114.263999999996
2410000	346.11235	328.25775	13831.341	9533.9712	15579.12	9231.9258	-39117.406
2415000	341.46047000000004	325.64633	13853.53	9623.7641	15602.837	9200.8243	-39131.784
2420000	344.39177	323.06978	13818.916000000001	9559.3331	15656.801000000001	9381.359	-39261.591
2425000	343.69002	329.82146	13819.383	9538.8131	15705.186000000002	9277.6879	-39244.608
2430000	344.7252	327.97438	13716.941	9556.193000000001	15571.466	9204.6284	-39182.617999999995
2435000	337.83727999999996	323.06086	13549.143999999998	9657.6717	15565.273000000001	9265.679	-39237.448
2440000	342.30689	325.58898	13572.938999999998	9656.0614	15569.896999999999	9248.0327	-39309.446
2445000	345.23479	330.85651	13636.258	9477.4922	15534.184	9279.6385	-39270.778
2450000	345.75365	326.05425	13831.025	9539.6915	15584.97	9407.9147	-39267.717000000004
2455000	344.9225	322.19827999999995	13623.656	9452.8558	15534.572	9366.9913	-39259.06
2460000	341.68756	323.47429	13672.886	9684.0889	15514.487	9330.4092	-39304.255
2465000	339.85323	323.20795	13592.347	9506.23	15563.441	9352.7425	-39311.895
2470000	336.99551	326.85927000000004	13654.632	9542.9924	15614.426000000001	9286.6952	-39220.552
2475000	338.00881	324.38616	13642.655	9515.3015	15555.864	9273.5035	-39187.456
2480000	339.76155	315.18077	13326.573999999999	9482.5533	15462.107	9388.2606	-39296.48
2485000	337.05342	316.53697	13444.928999999998	9542.0915	15553.036	9364.5544	-39256.352
2490000	337.04382000000004	316.10552	13404.66	9574.9167	15545.718	9231.4392	-39174.21
2495000	338.59431	319.41535	13397.282	9576.4869	15598.616000000002	9300.2505	-39347.817
2500000	341.03522000000004	321.70915	13282.315	9422.4211	15521.955	9347.1123	-39350.351
2505000	342.26236	312.73197000000005	13084.239	9460.4921	15481.544	9283.4045	-39361.672
2510000	330.01812	318.33912000000004	13165.901000000002	9599.6098	15490.51	9238.0211	-39260.432
2515000	337.55846	322.59674	13264.758999999998	9403.4513	15524.216	9237.9453	-39273.947
2520000	333.47956	319.55375	13181.694	9497.1392	15498.033000000001	9268.1824	-39328.32
2525000	335.68611	320.0804	13331.561000000002	9544.6948	15404.72	9273.6727	-39169.847
2530000	339.37108	323.40455	13440.03	9578.8416	15528.376	9128.8969	-39274.892
2535000	342.53281	321.73292999999995	13255.577	9534.8941	15378.186000000002	9242.457	-39355.991
